Year,Country,Happiness Score
2024,finland,7.736
2023,afghanistan,1.721
2022,afghanistan,1.859
2021,afghanistan,2.404
2020,afghanistan,2.523
2019,afghanistan,2.56690001487732
2018,afghanistan,3.203
2017,afghanistan,3.632
2016,afghanistan,3.794
2015,afghanistan,3.36
2024,denmark,7.521
2023,albania,5.304
2022,albania,5.277
2021,albania,5.199
2020,albania,5.117
2019,albania,4.88269996643066
2018,albania,4.719
2017,albania,4.586
2016,albania,4.644
2015,albania,4.655
2024,iceland,7.515
2023,algeria,5.364
2022,algeria,5.329
2021,algeria,5.122
2020,algeria,4.887
2019,algeria,5.00509977340698
2018,algeria,5.211
2017,algeria,5.295
2016,algeria,5.872
2015,algeria,6.355
2017,angola,3.795
2016,angola,3.795
2015,angola,3.866
2024,sweden,7.345
2023,argentina,6.188
2022,argentina,6.024
2021,argentina,5.967
2020,argentina,5.929
2019,argentina,5.97469997406006
2018,argentina,6.086
2017,argentina,6.388
2016,argentina,6.599
2015,argentina,6.65
2024,netherlands,7.306
2023,armenia,5.455
2022,armenia,5.342
2021,armenia,5.399
2020,armenia,5.283
2019,armenia,4.67679977416992
2018,armenia,4.559
2017,armenia,4.321
2016,armenia,4.376
2015,armenia,4.36
2024,costa rica,7.274
2023,australia,7.057
2022,australia,7.095
2021,australia,7.162
2020,australia,7.183
2019,australia,7.22279977798462
2018,australia,7.228
2017,australia,7.272
2016,australia,7.284
2015,australia,7.313
2024,norway,7.262
2023,austria,6.905
2022,austria,7.097
2021,austria,7.163
2020,austria,7.268
2019,austria,7.29419994354248
2018,austria,7.246
2017,austria,7.139
2016,austria,7.006
2015,austria,7.119
2024,israel,7.234
2023,azerbaijan,4.893
2021,azerbaijan,5.173
2020,azerbaijan,5.171
2019,azerbaijan,5.16480016708374
2018,azerbaijan,5.208
2017,azerbaijan,5.201
2016,azerbaijan,5.234
2015,azerbaijan,5.291
2024,luxembourg,7.122
2023,bahrain,5.959
2022,bahrain,6.173
2021,bahrain,6.647
2020,bahrain,6.647
2019,bahrain,6.22730016708374
2018,bahrain,6.199
2017,bahrain,6.105
2016,bahrain,6.087
2015,bahrain,6.218
2024,mexico,6.979
2023,bangladesh,3.886
2022,bangladesh,4.282
2021,bangladesh,5.155
2020,bangladesh,5.025
2019,bangladesh,4.83279991149902
2018,bangladesh,4.456
2017,bangladesh,4.5
2016,bangladesh,4.608
2015,bangladesh,4.643
2021,belarus,5.821
2020,belarus,5.534
2019,belarus,5.5398998260498
2018,belarus,5.323
2017,belarus,5.483
2016,belarus,5.569
2015,belarus,5.802
2024,australia,6.974
2023,belgium,6.894
2022,belgium,6.859
2021,belgium,6.805
2020,belgium,6.834
2019,belgium,6.86350011825562
2018,belgium,6.923
2017,belgium,6.927
2016,belgium,6.891
2015,belgium,6.929
2024,new zealand,6.952
2017,belize,5.956
2016,belize,5.956
2015,belize,5.956
2024,switzerland,6.935
2023,benin,4.377
2022,benin,4.374
2021,benin,4.623
2020,benin,5.045
2019,benin,5.21600008010864
2018,benin,4.883
2017,benin,4.141
2016,benin,3.657
2015,benin,3.484
2018,bhutan,5.082
2017,bhutan,5.082
2016,bhutan,5.011
2015,bhutan,5.196
2024,belgium,6.91
2023,bolivia,5.784
2022,bolivia,5.684
2021,bolivia,5.6
2020,bolivia,5.716
2019,bolivia,5.74749994277954
2018,bolivia,5.779
2017,bolivia,5.752
2016,bolivia,5.823
2015,bolivia,5.822
2024,ireland,6.889
2023,bosnia and herzegovina,5.877
2022,bosnia and herzegovina,5.633
2021,bosnia and herzegovina,5.768
2020,bosnia and herzegovina,5.813
2019,bosnia and herzegovina,5.67409992218018
2018,bosnia and herzegovina,5.386
2017,bosnia and herzegovina,5.129
2016,bosnia and herzegovina,5.182
2015,bosnia and herzegovina,5.163
2024,lithuania,6.829
2023,botswana,3.383
2022,botswana,3.435
2021,botswana,3.471
2020,botswana,3.467
2019,botswana,3.47889995574951
2018,botswana,3.488
2017,botswana,3.59
2016,botswana,3.766
2015,botswana,3.974
2024,austria,6.81
2023,brazil,6.272
2022,brazil,6.125
2021,brazil,6.293
2020,brazil,6.33
2019,brazil,6.37559986114502
2018,brazil,6.3
2017,brazil,6.419
2016,brazil,6.635
2015,brazil,6.952
2024,canada,6.803
2023,bulgaria,5.463
2022,bulgaria,5.466
2021,bulgaria,5.371
2020,bulgaria,5.266
2019,bulgaria,5.10150003433228
2018,bulgaria,5.011
2017,bulgaria,4.933
2016,bulgaria,4.714
2015,bulgaria,4.217
2024,slovenia,6.792
2023,burkina faso,4.548
2022,burkina faso,4.638
2021,burkina faso,4.67
2020,burkina faso,4.834
2019,burkina faso,4.76870012283325
2018,burkina faso,4.587
2017,burkina faso,4.424
2016,burkina faso,4.032
2015,burkina faso,3.739
2020,burundi,3.775
2019,burundi,3.77530002593994
2018,burundi,3.775
2017,burundi,2.905
2016,burundi,2.905
2015,burundi,2.905
2024,czechia,6.775
2023,cambodia,4.341
2022,cambodia,4.393
2021,cambodia,4.64
2020,cambodia,4.83
2019,cambodia,4.8484001159668
2018,cambodia,4.7
2017,cambodia,4.433
2016,cambodia,4.168
2015,cambodia,3.907
2024,united arab emirates,6.759
2023,cameroon,4.874
2022,cameroon,4.973
2021,cameroon,5.048
2020,cameroon,5.142
2019,cameroon,5.08489990234375
2018,cameroon,5.044
2017,cameroon,4.975
2016,cameroon,4.695
2015,cameroon,4.513
2024,germany,6.753
2023,canada,6.9
2022,canada,6.961
2021,canada,7.025
2020,canada,7.103
2019,canada,7.23210000991821
2018,canada,7.278
2017,canada,7.328
2016,canada,7.316
2015,canada,7.404
2019,central african republic,3.47589993476868
2018,central african republic,3.083
2017,central african republic,3.083
2016,central african republic,2.693
2024,united kingdom,6.728
2023,chad,4.471
2022,chad,4.397
2021,chad,4.251
2020,chad,4.355
2019,chad,4.42269992828369
2018,chad,4.35
2017,chad,4.301
2016,chad,3.936
2015,chad,3.763
2024,united states,6.724
2023,chile,6.36
2022,chile,6.334
2021,chile,6.172
2020,chile,6.172
2019,chile,6.22849988937378
2018,chile,6.444
2017,chile,6.476
2016,chile,6.652
2015,chile,6.705
2024,belize,6.711
2023,china,5.973
2022,china,5.818
2021,china,5.585
2020,china,5.339
2019,china,5.12389993667603
2018,china,5.191
2017,china,5.246
2016,china,5.273
2015,china,5.245
2024,poland,6.673
2023,colombia,5.695
2022,colombia,5.63
2021,colombia,5.781
2020,colombia,6.012
2019,colombia,6.16340017318726
2018,colombia,6.125
2017,colombia,6.26
2016,colombia,6.357
2015,colombia,6.481
2024,taiwan,6.669
2023,comoros,3.566
2022,comoros,3.545
2021,comoros,4.609
2020,comoros,4.289
2019,comoros,4.28859996795654
2018,comoros,3.973
2015,comoros,3.956
2024,uruguay,6.661
2023,"congo, dem. rep.",5.221
2022,"congo, dem. rep.",5.267
2021,"congo, dem. rep.",5.075
2020,"congo, dem. rep.",5.342
2019,"congo, dem. rep.",5.1943998336792
2018,"congo, dem. rep.",4.812
2017,"congo, dem. rep.",4.559
2016,"congo, dem. rep.",4.291
2015,"congo, dem. rep.",4.236
2024,kosovo,6.659
2023,costa rica,6.955
2022,costa rica,6.609
2021,costa rica,6.582
2020,costa rica,7.069
2019,costa rica,7.12139987945557
2018,costa rica,7.167
2017,costa rica,7.072
2016,costa rica,7.079
2015,costa rica,7.087
2024,kuwait,6.629
2023,cote d'ivoire,5.08
2022,cote d'ivoire,5.053
2021,cote d'ivoire,5.235
2020,cote d'ivoire,5.306
2019,cote d'ivoire,5.23330020904541
2018,cote d'ivoire,4.944
2017,cote d'ivoire,4.671
2016,cote d'ivoire,4.18
2015,cote d'ivoire,3.916
2024,serbia,6.606
2023,croatia,5.942
2022,croatia,6.125
2021,croatia,6.125
2020,croatia,5.882
2019,croatia,5.50470018386841
2018,croatia,5.432
2017,croatia,5.321
2016,croatia,5.293
2015,croatia,5.488
2024,saudi arabia,6.6
2023,cyprus,6.068
2022,cyprus,6.13
2021,cyprus,6.221
2020,cyprus,6.223
2019,cyprus,6.15899991989136
2018,cyprus,6.046
2017,cyprus,5.762
2016,cyprus,5.621
2015,cyprus,5.546
2024,france,6.593
2023,czechia,6.822
2022,czechia,6.845
2021,czechia,6.92
2020,czechia,6.965
2019,czechia,6.9109001159668
2018,czechia,6.852
2017,czechia,6.711
2016,czechia,6.609
2015,czechia,6.596
2024,singapore,6.565
2023,denmark,7.583
2022,denmark,7.586
2021,denmark,7.636
2020,denmark,7.62
2019,denmark,7.64559984207153
2018,denmark,7.6
2017,denmark,7.555
2016,denmark,7.522
2015,denmark,7.526
2024,romania,6.563
2023,dominican republic,5.823
2022,dominican republic,5.569
2021,dominican republic,5.737
2020,dominican republic,5.545
2019,dominican republic,5.68919992446899
2018,dominican republic,5.425
2017,dominican republic,5.302
2016,dominican republic,5.23
2015,dominican republic,5.155
2024,brazil,6.494
2023,"congo, dem. rep.",3.295
2022,"congo, dem. rep.",3.207
2019,"congo, dem. rep.",4.31099987030029
2018,"congo, dem. rep.",4.418
2017,"congo, dem. rep.",4.245
2016,"congo, dem. rep.",4.28
2015,"congo, dem. rep.",4.272
2024,el salvador,6.492
2023,ecuador,5.725
2022,ecuador,5.559
2021,ecuador,5.533
2020,ecuador,5.764
2019,ecuador,5.92519998550415
2018,ecuador,6.028
2017,ecuador,5.973
2016,ecuador,6.008
2015,ecuador,5.976
2024,spain,6.466
2023,"egypt, arab rep.",3.977
2022,"egypt, arab rep.",4.17
2021,"egypt, arab rep.",4.288
2020,"egypt, arab rep.",4.283
2019,"egypt, arab rep.",4.15140008926392
2018,"egypt, arab rep.",4.166
2017,"egypt, arab rep.",4.419
2016,"egypt, arab rep.",4.735
2015,"egypt, arab rep.",4.362
2024,estonia,6.417
2023,el salvador,6.469
2022,el salvador,6.122
2021,el salvador,6.12
2020,el salvador,6.061
2019,el salvador,6.34829998016357
2018,el salvador,6.253
2017,el salvador,6.167
2016,el salvador,6.003
2015,el salvador,6.068
2024,italy,6.415
2023,estonia,6.448
2022,estonia,6.455
2021,estonia,6.341
2020,estonia,6.189
2019,estonia,6.02180004119873
2018,estonia,5.893
2017,estonia,5.739
2016,estonia,5.611
2015,estonia,5.517
2024,panama,6.407
2023,eswatini,3.502
2021,eswatini,4.396
2024,argentina,6.397
2023,ethiopia,3.861
2022,ethiopia,4.091
2021,ethiopia,4.241
2020,ethiopia,4.275
2019,ethiopia,4.18620014190674
2018,ethiopia,4.286
2017,ethiopia,4.35
2016,ethiopia,4.46
2015,ethiopia,4.508
2024,kazakhstan,6.378
2023,finland,7.741
2022,finland,7.804
2021,finland,7.821
2020,finland,7.842
2019,finland,7.80870008468628
2018,finland,7.769
2017,finland,7.632
2016,finland,7.469
2015,finland,7.413
2024,guatemala,6.362
2023,france,6.609
2022,france,6.661
2021,france,6.687
2020,france,6.69
2019,france,6.66379976272583
2018,france,6.592
2017,france,6.489
2016,france,6.442
2015,france,6.478
2024,chile,6.361
2023,gabon,5.106
2022,gabon,5.035
2021,gabon,4.958
2020,gabon,4.852
2019,gabon,4.82929992675781
2018,gabon,4.799
2017,gabon,4.758
2016,gabon,4.465
2015,gabon,4.121
2024,viet nam,6.352
2023,"gambia, the",4.485
2022,"gambia, the",4.279
2021,"gambia, the",5.164
2020,"gambia, the",5.051
2019,"gambia, the",4.75059986114502
2018,"gambia, the",4.516
2024,nicaragua,6.33
2023,georgia,5.185
2022,georgia,5.109
2021,georgia,4.973
2020,georgia,4.891
2019,georgia,4.67259979248047
2018,georgia,4.519
2017,georgia,4.34
2016,georgia,4.286
2015,georgia,4.252
2024,malta,6.316
2023,germany,6.719
2022,germany,6.892
2021,germany,7.034
2020,germany,7.155
2019,germany,7.0757999420166
2018,germany,6.985
2017,germany,6.965
2016,germany,6.951
2015,germany,6.994
2024,thailand,6.222
2023,ghana,4.289
2022,ghana,4.605
2021,ghana,4.872
